110;26;7;26;7;25;1;2;1;2;0;0;4;0;4;0;22.841326826853287;0;(1,1);(2,1);(3,4);(4,1);(5,1);(6,1);(7,3);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,3);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,2);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,2);(38,1);(39,2);(40,1);
120;26;7;25;8;25;1;2;1;2;0;0;4;0;4;0;24.773566502214624;0;(1,1);(2,1);(3,4);(4,1);(5,1);(6,1);(7,4);(8,2);(9,1);(10,1);(11,2);(12,1);(13,1);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,2);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,3);(38,1);(39,2);(40,1);
130;27;6;26;7;25;0;2;0;2;0;1;4;1;4;0;26.940617732524732;0;(1,2);(2,1);(3,4);(4,1);(5,1);(6,1);(7,4);(8,2);(9,1);(10,1);(11,3);(12,1);(13,1);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,3);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,3);(38,1);(39,2);(40,1);
140;27;6;26;7;25;0;2;0;2;0;1;4;1;4;0;29.474640203263547;0;(1,2);(2,1);(3,4);(4,1);(5,1);(6,1);(7,4);(8,2);(9,1);(10,1);(11,3);(12,1);(13,1);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,3);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,3);(38,1);(39,2);(40,1);
150;27;6;25;8;25;1;2;1;2;0;1;3;1;3;0;32.08576494956946;0;(1,2);(2,1);(3,4);(4,1);(5,1);(6,1);(7,4);(8,2);(9,1);(10,1);(11,3);(12,1);(13,1);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,3);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,2);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
160;25;7;24;8;23;2;3;2;3;2;1;2;1;2;0;34.39981547606767;0;(1,3);(2,1);(3,4);(4,1);(5,1);(6,1);(7,5);(8,2);(9,1);(10,1);(11,3);(12,1);(13,2);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,3);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,3);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
170;23;8;20;10;20;3;4;5;3;5;1;1;1;1;0;36.55935994687172;0;(1,3);(2,1);(3,4);(4,1);(5,1);(6,1);(7,5);(8,2);(9,1);(10,1);(11,4);(12,1);(13,2);(14,4);(15,1);(16,1);(17,1);(18,1);(19,1);(20,3);(21,4);(22,1);(23,2);(24,1);(25,1);(26,1);(27,1);(28,1);(29,2);(30,1);(31,1);(32,1);(33,4);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
180;21;8;21;8;20;5;4;6;3;5;1;1;1;1;0;39.00972897545632;0;(1,3);(2,1);(3,4);(4,1);(5,1);(6,1);(7,5);(8,2);(9,1);(10,1);(11,4);(12,1);(13,2);(14,4);(15,1);(16,1);(17,1);(18,2);(19,1);(20,3);(21,4);(22,1);(23,2);(24,1);(25,1);(26,2);(27,1);(28,1);(29,3);(30,1);(31,1);(32,1);(33,4);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
190;21;7;20;8;20;5;6;5;6;5;1;0;1;0;0;41.49428339612083;0;(1,3);(2,1);(3,5);(4,1);(5,1);(6,1);(7,5);(8,2);(9,1);(10,1);(11,4);(12,1);(13,2);(14,5);(15,1);(16,1);(17,1);(18,2);(19,1);(20,3);(21,4);(22,1);(23,2);(24,1);(25,1);(26,2);(27,1);(28,1);(29,3);(30,1);(31,1);(32,1);(33,4);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
200;22;6;21;7;20;5;6;5;6;5;1;0;1;0;0;44.256045810019614;0;(1,3);(2,1);(3,5);(4,1);(5,1);(6,1);(7,5);(8,2);(9,2);(10,1);(11,4);(12,1);(13,2);(14,5);(15,1);(16,1);(17,1);(18,2);(19,1);(20,4);(21,4);(22,1);(23,2);(24,1);(25,1);(26,2);(27,1);(28,1);(29,3);(30,1);(31,1);(32,1);(33,4);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
210;20;7;19;8;19;7;5;7;5;6;1;0;1;0;0;47.070214618897204;0;(1,3);(2,1);(3,5);(4,1);(5,1);(6,1);(7,5);(8,2);(9,2);(10,1);(11,4);(12,1);(13,2);(14,5);(15,1);(16,1);(17,1);(18,2);(19,1);(20,4);(21,4);(22,1);(23,2);(24,1);(25,1);(26,2);(27,1);(28,1);(29,3);(30,1);(31,1);(32,1);(33,5);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
220;18;6;17;7;16;9;6;9;6;9;1;0;1;0;0;49.632181978415545;0;(1,3);(2,1);(3,5);(4,1);(5,1);(6,1);(7,5);(8,2);(9,2);(10,2);(11,4);(12,1);(13,2);(14,5);(15,1);(16,1);(17,1);(18,2);(19,1);(20,4);(21,4);(22,1);(23,2);(24,1);(25,1);(26,2);(27,1);(28,1);(29,4);(30,1);(31,2);(32,1);(33,5);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
230;18;4;17;4;16;9;8;10;8;9;1;0;1;0;0;52.31347891132423;0;(1,3);(2,1);(3,5);(4,1);(5,1);(6,2);(7,5);(8,2);(9,2);(10,2);(11,4);(12,1);(13,2);(14,5);(15,1);(16,1);(17,1);(18,2);(19,1);(20,4);(21,4);(22,1);(23,2);(24,1);(25,2);(26,2);(27,1);(28,1);(29,4);(30,1);(31,2);(32,1);(33,5);(34,2);(35,1);(36,1);(37,3);(38,1);(39,3);(40,1);
